アート梱包運輸㈱,あーとこんぽううんゆ,長野県東御市八重原3510-1,0268-67-0345
アートサービス㈱,あーとさーびす,上田市中央東13-30,0268-27-1002
青木モータース,あおきもーたーす,,
赤田工業㈱,あかたこうぎょう,長野県北安曇郡池田町会染6108-75,0261-62-2235
アカネ工業㈱,あかねこうぎょう,上田市福田356-4,0268222896
アサマ精機,あさませいき,長野県上田市芳田1584,0268-35-3362
浅間ピストン㈱,あさまぴすとん,長野県佐久市八幡238,0267-58-2011
アシスト,あしすと,長野県上田市下之条1834-2,0268-24-7755
Astemo㈱真田,あすてもさなだ,長野県上田市真田町傍陽8075,0268-75-3451
阿部製作所,あべせいさくしょ,長野県佐久市内山5069-1,0267-78-5133
㈲荒井製作所,あらいせいさくしょ,長野県上田市仁古田633−5,0268-31-1102
㈱アルカディア,あるかでぃあ,長野県上田市小泉2566-1,0268-25-0034
アルファーシステムズ,あるふぁーしすてむず,長野県東御市滋野甲2211-3,0268-64-7188
アルファデザイン㈱,あるふぁでざいん,東御市滋野2211-3,
アンジック㈱,あんじっく,長野県千曲市倉科284-1,026-273-8288
イーファクトリー,いーふぁくとりー,佐久市横和1013-1,0267-67-7566
㈱石原産業,いしはらさんぎょう,長野県上田市長瀬平戸工業団地1053-7,0268-42-5011
いすゞ自動車中部,いすずじどうしゃちゅうぶ,上田市岩下165,
伊藤製作所,いとうせいさくしょ,長野県上田市下之郷711,0268-38-2097
上田エレクトロニクス㈱,うえだえれくとろにくす,長野県上田市蒼久保500,0268-36-3111
上田急便,うえだきゅうびん,長野県上田市真田町傍陽6608-6,0268-61-5500
㈲上田車体工業,うえだしゃたいこうぎょう,長野県東御市鞍掛54,0268-64-3122
碓井板金加工所,うすいばんきんかこうしょ,長野県佐久市野沢595-3,0267-63-8332
㈱SSジャパン,えすえすじゃぱん,長野県小諸市滋野甲3934-1,
エヌケーシー,えぬけーしー,長野県千曲市大字羽尾1714-1,0262756737
エルエックス工業,えるえっくすこうぎょう,長野県埴科郡坂城町中之条1401-1,0268-82-2203
㈱エンドレスプロジェクト,えんどれすぷろじぇくと,長野県佐久市横和1012-1,0267-68-0071
㈱小沼製作所,こぬませいさくしょ,長野県上田市古里染屋1998-6,0268-22-6824
尾美樹脂工業㈱,おみじゅしこうぎょう,長野県小県郡長和町古町2877-1,0268-68-2145
オリオン熱学㈱,おりおんねつがく,長野県長野市穂保北部工業団地13,026-245-0640
恩田金属工業㈱,おんだきんぞくこうぎょう,長野県東御市和901-1,0268-35-3711
㈲カイセイ,かいせい,上田市小泉1302,0268-27-6146
加工屋,かこうや,長野県上田市下室賀64,
㈱カザマ,かざま,長野県埴科郡坂城町大字南条4786,0268-82-2368
カツノ技研,かつのぎけん,長野県上田市真田町長6397-3,0268-72-4227
加藤自動車板金長和,かとうじどうしゃばんきんながわ,長和町長久保1875-2,0268-42-2552
金谷興油,かなやこうゆ,長野県上田市常磐城2381,0268715890
カワカミ精工,かわかみせいこう,長野県安曇野市穂高有明7534-24,0263-84-6505
川上製作所,かわかみせいさくしょ,長野県北安曇郡松川村10,0261-62-2088
㈱川久保製作所,かわくぼせいさくしょ,長野県上田市古里1998-1,0268-24-7000
㈱カワベ工業,かわべこうぎょう,長野県上田市富士山2416-5,0268-38-9898
川本工業㈱,かわもとこうぎょう,佐久市小田井543,
木羽製作所,こばせいさくしょ,長野県上田市林之郷444-1,0268-21-1922
㈲協和工業所,きょうわこうぎょうしょ,南佐久郡佐久穂町大字穂積1577-1,0267-88-2164
金佳工業㈱,かねよしこうぎょう,長野県上田市真田町長233-1,0268-72-4800
㈱沓掛工業,くつかけこうぎょう,長野県上田市吉田289-1,0268-27-8151
グロー,ぐろー,,
黒田精工㈱,くろだせいこう,長野県北安曇郡池田町池田2081-1,0261-62-3159
クワバラ精工,くわばらせいこう,長野県上田市芳田1306,0268-36-0103
小泉工業,こいずみこうぎょう,長野県上田市下室賀175-5,0268-24-3071
小出精工,こいでせいこう,長野県上田市吉田315-11,
興亜エレクトロニクス㈱　田上工場,こうあえれくとろにくすたがみこうじょう,長野県下伊那郡阿南町西条733,0260-22-2261
興亜エレクトロニクス㈱　千代工場,こうあえれくとろにくすちよこうじょう,長野県飯田市千代 2248,0265-59-2211
興亜エレクトロニクス㈱　新野工場,こうあえれくとろにくすにいのこうじょう,長野県下伊那郡阿南町新野 2741,0260-24-2221
興亜エレクトロニクス㈱　南信濃工場,こうあえれくとろにくすみなみしなのこうじょう,長野県飯田市南信濃和田 510,0260-34-2271
興亜エレクトロニクス㈱　泰阜工場,こうあえれくとろにくすやすおかこうじょう,長野県下伊那郡泰阜村 3299,0260-26-2041
興亜エレクトロニクス㈱　早稲田工場,こうあえれくとろにくすわせだこうじょう,長野県下伊那郡阿南町西条 1957,0260-31-1280
光実鉄工,こうじつてっこう,長野県埴科郡坂城町大字中之条2518-1,0268827312
㈱神津精機,こうづせいき,長野県佐久市志賀6525-1,0267-67-3566
㈱光和,こうわ,長野県埴科郡坂城町坂城刈屋原318-1,0268-82-3134
㈱コサト精機,こさとせいき,長野県上田市芳田2126番地1,0268-34-7577
コダマ精工,こだませいこう,長野県上田市芳田2237-1,
㈲小林加工,こばやしかこう,長野県埴科郡坂城町南条1917,0268-82-6616
㈲小林化成,こばやしかせい,長野県上田市秋和320-1,0268-24-3140
小林三郎製作所,こばやしさぶろうせいさくしょ,長野県上田市常磐城2369-1,0268231006
㈱小林スプリング製作所,こばやしすぷりんぐせいさくしょ,長野県小諸市滋野甲3942-1,0267-22-1599
小林板金,こばやしばんきん,長野県上田市富士山2416-6,0268-38-7925
小山鉄工所,こやまてっこうじょ,長野県埴科郡坂城町大字上平2479,0268-82-3805
㈲コヤマレース,こやまれーす,長野県埴科郡坂城町坂城6980-1,0268-82-7692
㈱コリン,こりん,新潟県上越市新町104,025-523-2929
坂下マシニック,さかしたましにっく,長野県上田市上田948,0268-23-6823
㈱相模屋,さがみや,長野県埴科郡坂城町大字坂城9912番地,0268-82-2345
桜井産業,さくらいさんぎょう,長野県上田市中之条116-7,0268-22-6215
㈱桜井製作所,さくらいせいさくしょ,長野県埴科郡坂城町中之条895,0268-82-2833
サクラ精機㈱　教育センター,さくらせいききょういくせんたー,長野県千曲市大字小島3175,026-272-4792
サクラ精機㈱　千曲工場,さくらせいきちくまこうじょう,長野県千曲市大字新田46-1,026-273-3582
サクラ精機㈱　長野上山田サービス事業所,さくらせいきながのかみやまださーびすじぎょうしょ,長野県千曲市大字上山田字高河原3813-276,026-403-0744
サクラ精機㈱　本社工場,さくらせいきほんしゃこうじょう,長野県千曲市鋳物師屋75-5,026-272-2381
サクラ精機㈱　屋代工場,さくらせいきやしろこうじょう,長野県千曲市大字屋代1340,026-272-2384
サクラ精機㈱　八幡工場,さくらせいきやわたこうじょう,長野県千曲市大字八幡1122-8,026-272-8381
笹井鉄工,ささいてっこう,長野県東御市加沢1404-7,0268-64-2536
サンティエ,さんてぃえ,長野県上田市古安曽402-7,0268-39-1033
サンテック　（旧MY技研）,さんてっく,長野県上田市大屋166-1,
三和シャッター工業,さんわしゃったーこうぎょう,長野県上田市住吉601-11,0268-22-9699
サンワ精工　下吉田,さんわせいこうしもよしだ,長野県上田市芳田1912,0268-35-2787
シープラスワン,しーぷらすわん,東御市県135-1,0268-71-7697
㈱JPE,じぇいぴーいー,長野県上田市富士山字鴻ノ巣2329-1,0268-38-3801
㈲塩入製作所,しおいりせいさくしょ,長野県埴科郡坂城町昭和通り10282-6,0268-82-2329
㈱SHIOSAWAアスコン,しおさわあすこん,長野県東御市加沢250,0268-63-6155
㈱SHIOSAWAオートライフ東御店,しおさわおーとらいふとうみてん,東御市加沢285-1,0268-63-6896
塩尻製作所,しおじりせいさくしょ,長野県上田市下塩尻490,0268-22-4678
㈱信濃機工　上田,しなのきこううえだ,長野県上田市塩川630-3,0268-75-6322
信濃機工㈱　坂城,しなのきこうさかき,長野県埴科郡坂城町大字坂城6359-1,0268-81-2017
信濃機工㈱　本社,しなのきこうほんしゃ,長野県千曲市八幡5484-1,026-273-3667
㈱しなのマシナリー,しなのましなりー,長野県塩尻市広丘野村1975番地,0263-87-7858
島田製作所　上田,しまだせいさくしょうえだ,長野県上田市中央6丁目11-15,0268-27-2313
清水技研,しみずぎけん,長野県佐久市協和3202-2,
下村鉄工所,しもむらてっこうじょ,長野県上田市塩川712-4,0268-35-0600
十字屋リース㈱,じゅうじやりーす,上田市秋和391,0268-26-9353
㈱松栄製作所,しょうえいせいさくしょ,長野県上田市真田町本原4140,0268-72-4400
㈱新興製作所,しんこうせいさくしょ,長野県佐久市田口5131,0267-82-2511
信陽リース㈱,しんようりーす,長野県上田市常入1-14-5,0268-25-2800
㈱進和製作所　上田,しんわせいさくしょうえだ,長野県上田市住吉38-7,０２６８－２３－２９４５
㈱進和製作所　本社,しんわせいさくしょほんしゃ,上田市富士山2511-6,0268-39-0955
㈲須藤製作所,すどうせいさくしょ,長野県千曲市羽尾2343-8,026-276-5545
諏訪金属㈱,すわきんぞく,長野県千曲市屋代1456,026-272-1171
精発ばね工業㈱,せいはつばねこうぎょう,長野県長野市中条日高411,026-267-2116
㈱晴和精機製作所,せいわせいきせいさくしょ,長野県上田市上田原1867-4,
晴和精機製作所,せいわせいきせいさくしょ,長野県上田市上田原1867-4,0268261420
㈱関口商会,せきぐちしょうかい,長野県上田市中央5丁目12-9,0268-22-2982
関根商店,せきねしょうてん,長野県上田市住吉３１６－２,0268242292
㈱セルコ,せるこ,小諸市御影新田2130-1,0267-23-3322
セルコトロン　本社,せることろんほんしゃ,上田市真田町本原604-1,0268-71-7813
㈱創風,そうふう,長野県上田市真田町長2411-2,0268-72-4075
大信産業㈱,だいしんさんぎょう,長野県上田市国分1丁目1-9,0268-23-8881
㈱大門製作所,だいもんせいさくしょ,長野県埴科郡坂城町坂城7007,0268-82-2446
高島製作所　東御,たかしませいさくしょとうみ,長野県東御市県36-2,
(有)滝沢工研,たきざわこうけん,長野県千曲市森1757,026-273-2056
滝澤商事㈱,たきざわしょうじ,長野県上田市常田2丁目14-11,0268-23-0515
滝沢製作所（坂城）,たきざわせいさくしょさかき,長野県埴科郡坂城町坂城7101-1,0268-82-4015
滝澤製作所　坂城,たきざわせいさくしょさかき,長野県埴科郡坂城町大字坂城7101-1,0268-82-4015
㈱武井樹脂製作所,たけいじゅしせいさくところ,長野県上田市富士山2416-20,0268-38-8181
